aPqW6,mist_file_heavy_0.txt,Process Start,1493209696522
aPqW6,mist_file_heavy_0.txt,Process Start,1493209696554
aPqW6,mist_file_heavy_0.txt,Process Start,1493209696554
aPqW6,mist_file_heavy_0.txt,mist-one,Call back received,1493209811256
aPqW6,mist_file_heavy_0.txt,mist-two,Call back received,1493209812790
,,,node two,
aPqW6,mist_file_heavy_0.txt,mist-two,Recieved deployment ,1493209729679
aPqW6,mist_file_heavy_0.txt,mist-two,Started deployment to Camunda,1493209730459
aPqW6,mist_file_heavy_0.txt,mist-two,Finished deployment to Camunda,1493209738883
aPqW6,mist_file_heavy_0.txt,mist-two,Mist-docker  started,1493209741045
aPqW6,mist_file_heavy_0.txt,mist-two,Mist-docker  completed,1493209806180
aPqW6,mist_file_heavy_0.txt,mist-two,Sending response to callback,1493209812204
,,,node one,
aPqW6,mist_file_heavy_0.txt,mist-one,Recieved deployment ,1493209745227
aPqW6,mist_file_heavy_0.txt,mist-one,Started deployment to Camunda,1493209746008
aPqW6,mist_file_heavy_0.txt,mist-one,Finished deployment to Camunda,1493209752951
aPqW6,mist_file_heavy_0.txt,mist-one,Mist-docker  started,1493209755108
aPqW6,mist_file_heavy_0.txt,mist-one,Mist-docker  completed,1493209804281
aPqW6,mist_file_heavy_0.txt,mist-one,Sending response to callback,1493209810310
,,,,
,,cloud ,,
one,,,,
uRz1a,mist_file_heavy_0.txt,Process Start,1493212899653
uRz1a,mist_file_heavy_0.txt,Process Start,1493212899654
uRz1a,mist_file_heavy_0.txt,Call back received only use for cloud,1493212913845

uRz1a,mist_file_heavy_0.txt,mist-one,Recieved deployment ,1493212909556
uRz1a,mist_file_heavy_0.txt,mist-one,Started deployment to Camunda,1493212909684
uRz1a,mist_file_heavy_0.txt,mist-one,Finished deployment to Camunda,1493212912555
,,,,
,,,,
two,,,,
eWb7X,mist_file_heavy_0.txt,Process Start,1493215393213
eWb7X,mist_file_heavy_0.txt,Process Start,1493215393213
eWb7X,mist_file_heavy_0.txt,Call back received only use for cloud,149321546152
eWb7X,mist_file_heavy_0.txt,mist-one,Recieved deployment ,1493215410121
eWb7X,mist_file_heavy_0.txt,mist-one,Started deployment to Camunda,1493215410349
eWb7X,mist_file_heavy_0.txt,mist-one,Finished deployment to Camunda,1493215412439
eWb7X,mist_file_heavy_0.txt,mist-one,Mist-docker  started,1493215414533
eWb7X,mist_file_heavy_0.txt,mist-one,Mist-docker  completed,1493215429276
eWb7X,mist_file_heavy_0.txt,mist-one,Mist-docker  started,1493215441293
eWb7X,mist_file_heavy_0.txt,mist-one,Mist-docker  completed,1493215454641
eWb7X,mist_file_heavy_0.txt,mist-one,Sending response to callback,1493215460673
